map	w	h	coredsq	rounds	seats	claim_onset	claim2_onset	claim3_onset	claim5_onset	own_onset	claim_r20	claim_r40	claim_r80	claim_r150	claim_max	own_max	claim_mean	claim_tail50	own_mean	ours_max	ours_seatrounds	ours_first	episodes	epi_ended	retakes	retake_lat_mean	retake_lat_med	pecks_total	ourblock_seatrounds	ourconv_seatrounds	mjbody_seatrounds	empty_seatrounds	claim_w40_100	block_w40_100	mj_claim_epis	mj_claim_ended	mj_claim_life_med	claim_pre_press	claim_post_press	our_near16_first	our_near36_first	mj_harv1	mj_harv2	mj_harv_n	pecks_on_ours	pecks_on_theirs	peck_victims	tag	seat	result	cond	turn
antler	14	18	64	337	8	2	3	96	-1	2	2	2	2	3	3	3	2.682	3.0	2.682	5	1294	11	5	1	1	1.0	1	120	1294	0	302	196	2.067	4.0	4	1	22	2	1	9	9	4	6	2	98	22	barrier:98	antler_s312_A	A	US	Core destroyed	337
antler	14	18	64	133	8	2	3	-1	-1	2	2	1	0	-1	2	2	0.526	0.0	0.526	6	596	17	11	5	0	-1	-1	36	434	162	88	276	0.2	4.0	2	2	49	2	1	9	9	4	6	2	16	20	barrier:16	antler_s312_B	B	US	Core destroyed	133
antler	14	18	64	440	8	2	3	281	308	2	2	2	2	1	7	7	3.002	7.0	3.002	6	1491	11	35	35	11	13.45	1	160	1491	0	48	649	1.717	4.167	9	2	48	2	2	9	9	4	6	4	140	20	barrier:140	antler_s313_A	A	OPP	Core destroyed	440
antler	14	18	64	379	8	2	3	139	-1	2	2	2	1	2	3	3	1.918	2.86	1.918	5	1148	10	17	14	4	1.0	1	253	1148	0	25	1060	1.267	3.933	7	4	54	2	2	9	9	4	6	2	184	69	barrier:184	antler_s313_B	B	US	Core destroyed	379
antler	14	18	64	146	8	2	3	31	-1	2	2	3	3	-1	3	3	2.404	2.0	2.404	6	671	11	8	2	1	1.0	1	183	671	0	6	140	2.917	4.833	3	1	93	2	2	9	9	4	6	2	130	53	barrier:130	antler_s314_A	A	OPP	Core destroyed	146
antler	14	18	64	569	8	2	3	-1	-1	2	2	1	1	1	2	2	1.032	1.0	1.032	3	1638	13	3	0	0	-1	-1	31	1638	0	999	1302	1.0	3.0	2	1	21	2	1	8	8	4	6	2	6	25	barrier:6	antler_s314_B	B	OPP	Core destroyed	569
antler	14	18	64	321	8	2	3	-1	-1	2	2	1	0	0	2	2	0.296	0.0	0.296	7	1864	11	8	1	0	-1	-1	105	1864	0	190	419	0.25	5.733	3	3	25	2	1	9	9	4	6	2	75	30	barrier:75	antler_s315_A	A	OPP	Core destroyed	321
antler	14	18	64	66	8	2	3	24	28	2	2	5	-1	-1	5	5	3.742	4.4	3.742	0	0	-1	0	0	0	-1	-1	4	0	0	9	216	-1	-1	5	0	-1	2	5	9	9	4	6	3	0	4		antler_s315_B	B	OPP	Core destroyed	66
antler	14	18	64	257	8	2	3	31	-1	2	2	4	2	2	4	4	2.249	2.0	2.249	5	1099	11	14	9	2	1.0	1	171	1099	0	11	368	2.95	3.7	4	2	76	2	2	9	9	4	6	2	131	40	barrier:131	antler_s316_A	A	US	Core destroyed	257
antler	14	18	64	345	8	2	3	26	31	2	2	5	5	3	5	5	2.261	1.04	2.261	7	1228	84	8	3	3	1.0	1	130	1228	0	10	659	4.533	0.533	8	6	159	2	4	9	9	4	6	2	60	70	barrier:60	antler_s316_B	B	US	Core destroyed	345
antler	14	18	64	177	8	2	3	34	120	2	2	3	4	5	5	5	3.695	5.0	3.695	4	527	11	7	4	2	1.0	1	48	527	0	6	229	3.467	3.467	5	0	-1	2	2	9	9	4	6	2	30	18	barrier:30	antler_s317_A	A	OPP	Core destroyed	177
antler	14	18	64	63	8	2	3	24	29	2	2	5	-1	-1	5	5	3.667	4.2	3.667	0	0	-1	0	0	0	-1	-1	12	0	0	7	213	-1	-1	5	0	-1	2	5	9	9	4	6	2	0	12		antler_s317_B	B	OPP	Core destroyed	63
antler	14	18	64	166	8	2	3	36	-1	2	2	3	3	2	3	3	2.494	2.48	2.494	6	756	11	9	3	3	9.33	1	78	756	0	23	135	2.717	4.633	4	2	138	2	2	9	9	4	6	2	49	29	barrier:49	antler_s318_A	A	OPP	Core destroyed	166
antler	14	18	64	250	8	2	3	24	29	2	2	5	5	3	5	5	3.712	3.0	3.712	4	329	120	4	2	0	-1	-1	76	329	0	74	555	5.0	0.0	5	2	119	2	5	9	9	4	6	4	30	46	barrier:30	antler_s318_B	B	US	Core destroyed	250
antler	14	18	64	368	8	2	3	33	-1	2	2	3	1	1	3	3	1.258	1.0	1.258	6	1999	10	33	27	1	1.0	1	187	1999	0	279	203	1.883	5.033	3	2	66	2	2	9	9	4	6	2	151	36	barrier:151	antler_s319_A	A	US	Core destroyed	368
antler	14	18	64	467	8	2	3	120	158	2	2	1	1	4	8	8	4.822	4.0	4.822	6	867	36	11	8	8	3.25	1	247	704	163	21	463	1.0	1.767	11	7	118	2	2	9	9	4	6	2	110	137	barrier:90,conveyor:20	antler_s319_B	B	US	Core destroyed	467
antler	14	18	64	229	8	2	3	-1	-1	2	2	2	2	2	2	2	1.952	2.0	1.952	5	839	11	5	2	1	1.0	1	158	839	0	134	412	2.0	4.0	3	1	22	2	1	9	9	4	6	2	136	22	barrier:136	antler_s320_A	A	OPP	Core destroyed	229
antler	14	18	64	303	8	2	3	24	29	2	2	5	5	7	7	7	4.564	3.44	4.564	5	488	122	8	3	2	1.0	1	157	488	0	32	410	5.0	0.0	8	5	186	2	5	9	9	4	6	5	50	107	barrier:50	antler_s320_B	B	US	Core destroyed	303
antler	14	18	64	257	8	2	3	31	-1	2	2	4	2	2	4	4	2.249	2.0	2.249	5	1099	11	14	9	2	1.0	1	171	1099	0	11	368	2.95	3.7	4	2	76	2	2	9	9	4	6	2	131	40	barrier:131	antler_s321_A	A	US	Core destroyed	257
antler	14	18	64	113	8	2	3	-1	-1	2	2	2	2	-1	2	2	1.956	2.0	1.956	4	312	11	6	3	0	-1	-1	73	312	0	6	262	2.0	3.167	2	0	-1	2	2	9	9	4	6	3	64	9	barrier:64	antler_s321_B	B	OPP	Core destroyed	113
antler	14	18	64	162	8	2	3	31	-1	2	2	3	3	2	3	3	2.364	2.0	2.364	6	759	11	8	2	1	1.0	1	180	759	0	5	149	2.917	4.833	3	1	93	2	2	9	9	4	6	2	127	53	barrier:127	antler_s322_A	A	OPP	Core destroyed	162
antler	14	18	64	61	8	2	3	-1	-1	2	2	2	-1	-1	2	2	1.902	1.98	1.902	1	27	34	1	0	0	-1	-1	17	27	0	6	288	-1	-1	2	1	58	2	2	9	9	4	6	2	0	17		antler_s322_B	B	OPP	Core destroyed	61
antler	14	18	64	367	8	2	3	34	-1	2	2	3	2	2	3	3	2.065	2.0	2.065	5	1700	10	29	24	1	1.0	1	172	1700	0	3	473	2.383	4.533	3	1	61	2	2	9	9	4	6	2	143	29	barrier:143	antler_s323_A	A	US	Core destroyed	367
antler	14	18	64	283	8	2	3	24	28	2	2	5	5	7	8	8	6.184	7.54	6.184	0	0	-1	0	0	0	-1	-1	14	0	0	12	433	5.0	0.0	9	2	232	2	5	9	9	4	6	4	0	14		antler_s323_B	B	US	Core destroyed	283
antler	14	18	64	126	8	2	3	31	-1	2	2	3	3	-1	3	3	2.468	2.38	2.468	6	552	11	7	1	1	1.0	1	162	552	0	5	140	2.917	4.833	3	1	93	2	2	9	9	4	6	2	109	53	barrier:109	antler_s324_A	A	OPP	Core destroyed	126
antler	14	18	64	296	8	2	3	-1	-1	2	2	2	1	1	2	2	1.142	0.94	1.142	7	1074	17	15	8	0	-1	-1	76	920	154	187	700	1.167	1.15	2	2	291	2	2	9	9	4	6	2	32	44	barrier:12,conveyor:20	antler_s324_B	B	US	Core destroyed	296
antler	14	18	64	146	8	2	3	31	-1	2	2	3	3	-1	3	3	2.404	2.0	2.404	6	672	11	7	1	1	1.0	1	174	672	0	5	140	2.917	4.833	3	1	93	2	2	9	9	4	6	2	121	53	barrier:121	antler_s325_A	A	OPP	Core destroyed	146
antler	14	18	64	334	8	2	3	120	-1	2	2	1	1	3	3	3	1.455	1.0	1.455	4	959	13	6	2	1	1.0	1	138	959	0	105	1049	1.0	2.283	4	3	39	2	1	8	8	4	6	3	70	68	barrier:70	antler_s325_B	B	OPP	Core destroyed	334
antler	14	18	64	235	8	2	3	34	-1	2	2	3	1	1	3	3	1.272	1.0	1.272	4	871	10	5	1	1	1.0	1	77	871	0	356	354	1.433	3.833	4	3	23	2	2	9	9	4	6	3	47	30	barrier:47	antler_s326_A	A	US	Core destroyed	235
antler	14	18	64	393	8	2	3	131	153	2	2	2	1	4	6	6	3.768	4.48	3.768	5	1160	10	20	17	6	1.83	1	394	1160	0	7	426	1.267	3.983	10	5	81	2	2	9	9	4	6	2	284	110	barrier:284	antler_s326_B	B	US	Core destroyed	393
antler	14	18	64	275	8	2	3	31	-1	2	2	4	2	2	4	4	2.233	2.0	2.233	5	1188	11	15	10	2	1.0	1	170	1188	0	11	387	2.95	3.7	4	2	76	2	2	9	9	4	6	2	130	40	barrier:130	antler_s327_A	A	US	Core destroyed	275
antler	14	18	64	191	8	2	3	22	61	2	1	4	5	6	6	6	4.686	6.0	4.686	3	221	13	3	2	2	1.0	1	40	221	0	9	353	4.65	1.333	7	1	15	2	3	9	9	4	6	4	30	10	barrier:30	antler_s327_B	B	OPP	Core destroyed	191
antler	14	18	64	229	8	2	3	-1	-1	2	2	2	2	2	2	2	1.952	2.0	1.952	5	839	11	5	2	1	1.0	1	158	839	0	134	412	2.0	4.0	3	1	22	2	1	9	9	4	6	2	136	22	barrier:136	antler_s328_A	A	OPP	Core destroyed	229
antler	14	18	64	282	8	2	3	24	28	2	2	5	5	6	7	7	5.681	7.0	5.681	1	101	163	2	1	1	4.0	4	17	101	0	17	384	5.0	0.0	7	0	-1	2	5	9	9	4	6	3	3	14	barrier:3	antler_s328_B	B	OPP	Core destroyed	282
antler	14	18	64	321	8	2	3	-1	-1	2	2	1	0	0	2	2	0.296	0.0	0.296	7	1864	11	8	1	0	-1	-1	105	1864	0	190	419	0.25	5.733	3	3	25	2	1	9	9	4	6	2	75	30	barrier:75	antler_s329_A	A	OPP	Core destroyed	321
antler	14	18	64	331	8	2	3	36	-1	2	2	3	3	3	3	3	2.317	2.0	2.317	5	1172	12	13	8	2	1.0	1	71	1172	0	13	375	2.917	2.117	4	2	149	2	2	9	9	4	6	2	47	24	barrier:47	antler_s329_B	B	US	Core destroyed	331
archipelago	26	26	392	344	8	2	3	21	89	1	2	3	4	5	6	6	4.971	6.0	4.974	1	56	125	1	1	1	1.0	1	16	56	0	49	936	3.9	0.0	6	0	-1	5	5	125	87	8	9	11	15	1	barrier:15	archipelago_s300_A	A	OPP	Core destroyed	344
archipelago	26	26	392	294	8	2	3	17	45	1	3	3	8	8	8	8	6.956	8.0	6.959	2	30	53	2	2	2	4.0	7	14	30	0	23	253	6.583	0.5	8	0	-1	6	7	53	32	8	15	18	12	2	barrier:12	archipelago_s300_B	B	OPP	Core destroyed	294
archipelago	26	26	392	193	8	2	3	22	-1	1	2	3	3	3	3	3	2.86	3.0	2.865	3	160	135	3	0	0	-1	-1	2	160	0	188	643	3.0	0.0	3	0	-1	3	3	135	20	8	9	3	0	2		archipelago_s301_A	A	OPP	Core destroyed	193
archipelago	26	26	392	525	8	2	3	18	44	1	3	4	8	7	8	8	7.09	7.64	7.091	2	242	32	4	4	3	1.0	1	179	242	0	27	208	7.167	0.567	9	2	458	3	7	32	32	8	14	19	91	88	barrier:91	archipelago_s301_B	B	OPP	Core destroyed	525
archipelago	26	26	392	224	8	2	3	24	39	1	2	5	5	5	5	5	4.527	5.0	4.531	3	530	36	6	3	2	1.0	1	102	530	0	28	219	4.967	2.567	7	2	59	3	5	36	20	8	9	3	82	20	barrier:82	archipelago_s302_A	A	US	Core destroyed	224
archipelago	26	26	392	372	8	2	3	21	33	1	2	6	7	8	8	8	7.277	8.0	7.28	1	50	29	2	2	1	1.0	1	79	50	0	15	203	6.983	0.633	8	0	-1	4	7	29	29	8	15	11	15	64	barrier:15	archipelago_s302_B	B	US	Core destroyed	372
archipelago	26	26	392	151	8	2	3	31	-1	1	2	3	3	3	3	3	2.762	3.0	2.768	2	11	144	2	0	0	-1	-1	0	11	0	151	628	3.0	0.0	3	0	-1	3	3	144	20	8	9	4	0	0		archipelago_s303_A	A	OPP	Core destroyed	151
archipelago	26	26	392	279	8	2	3	18	51	1	3	4	5	8	8	8	6.466	8.0	6.47	2	110	31	6	6	6	12.83	12	69	110	0	25	292	5.467	1.067	9	1	29	3	5	31	31	8	14	15	58	11	barrier:58	archipelago_s303_B	B	US	Core destroyed	279
archipelago	26	26	392	312	8	2	3	24	32	1	2	5	6	6	6	6	4.702	4.0	4.705	3	666	36	5	2	2	1.0	1	184	666	0	32	194	5.65	1.933	8	4	183	5	5	36	20	8	9	7	111	73	barrier:111	archipelago_s304_A	A	US	Core destroyed	312
archipelago	26	26	392	517	8	2	3	25	54	1	2	4	6	8	8	8	7.338	8.0	7.34	4	116	35	4	4	4	0.75	1	83	116	0	15	210	6.0	1.8	8	0	-1	4	6	35	35	8	17	15	76	7	barrier:76	archipelago_s304_B	B	US	Core destroyed	517
archipelago	26	26	392	279	8	2	3	53	56	1	2	2	5	6	6	6	4.846	5.0	4.849	3	570	30	5	2	1	1.0	1	83	570	0	33	276	4.6	2.333	6	1	152	2	2	30	30	8	9	5	70	13	barrier:70	archipelago_s305_A	A	US	Core destroyed	279
archipelago	26	26	392	262	8	2	3	15	57	1	3	4	8	8	8	8	6.901	8.0	6.905	1	4	49	1	1	1	1.0	1	18	4	0	20	263	6.7	0.067	9	1	33	3	8	49	49	8	13	15	1	17	barrier:1	archipelago_s305_B	B	OPP	Core destroyed	262
archipelago	26	26	392	564	8	2	3	24	41	1	2	4	6	6	6	6	5.718	6.0	5.72	1	13	39	1	1	0	-1	-1	1	13	0	292	981	5.833	0.2	6	0	-1	3	6	39	39	8	9	3	0	1		archipelago_s306_A	A	OPP	Core destroyed	564
archipelago	26	26	392	669	8	2	3	18	44	1	3	4	8	7	8	8	7.193	8.0	7.194	2	317	32	3	3	3	1.0	1	176	317	0	27	195	7.167	0.567	9	1	103	3	7	32	32	8	14	23	91	85	barrier:91	archipelago_s306_B	B	OPP	Core destroyed	669
archipelago	26	26	392	216	8	2	3	28	34	1	2	5	5	4	5	5	4.176	4.0	4.181	4	512	33	4	1	0	-1	-1	71	512	0	89	224	5.0	2.2	5	1	105	4	5	33	20	8	9	3	61	10	barrier:61	archipelago_s307_A	A	US	Core destroyed	216
archipelago	26	26	392	226	8	2	3	16	38	1	3	6	7	8	8	8	6.553	8.0	6.558	2	107	39	5	5	2	2.0	3	44	107	0	28	191	6.567	1.35	8	0	-1	6	6	39	32	8	14	3	37	7	barrier:37	archipelago_s307_B	B	OPP	Core destroyed	226
archipelago	26	26	392	167	8	2	3	23	29	1	2	6	7	7	7	7	5.988	7.0	5.994	1	127	37	2	1	1	1.0	1	81	127	0	26	182	6.783	0.95	7	0	-1	6	7	37	20	8	9	4	75	6	barrier:75	archipelago_s308_A	A	OPP	Core destroyed	167
archipelago	26	26	392	335	8	2	3	18	51	1	3	4	5	8	8	8	6.722	8.0	6.725	2	110	31	6	6	6	12.83	12	68	110	0	25	292	5.467	1.067	9	1	29	3	5	31	31	8	14	11	58	10	barrier:58	archipelago_s308_B	B	OPP	Core destroyed	335
archipelago	26	26	392	151	8	2	3	31	-1	1	2	3	3	3	3	3	2.762	3.0	2.768	2	11	144	2	0	0	-1	-1	0	11	0	151	628	3.0	0.0	3	0	-1	3	3	144	20	8	9	4	0	0		archipelago_s309_A	A	OPP	Core destroyed	151
archipelago	26	26	392	204	8	2	3	21	33	1	2	6	7	8	8	8	6.681	8.0	6.686	1	50	29	2	2	1	1.0	1	39	50	0	15	203	6.983	0.633	8	0	-1	4	7	29	29	8	15	6	15	24	barrier:15	archipelago_s309_B	B	US	Core destroyed	204
archipelago	26	26	392	198	8	2	3	23	41	1	2	4	7	7	7	7	5.783	7.0	5.788	3	211	36	3	2	2	1.0	1	52	211	0	22	205	6.083	1.767	7	0	-1	3	5	36	20	8	9	3	50	2	barrier:50	archipelago_s310_A	A	OPP	Core destroyed	198
archipelago	26	26	392	371	8	2	3	16	38	1	3	6	7	8	8	8	7.073	8.0	7.075	2	78	39	8	8	3	32.33	45	35	78	0	27	238	6.567	1.283	8	0	-1	6	6	39	32	8	14	18	35	0	barrier:35	archipelago_s310_B	B	US	Core destroyed	371
archipelago	26	26	392	178	8	2	3	23	29	1	2	5	5	5	5	5	4.393	4.54	4.399	4	404	31	4	0	0	-1	-1	64	404	0	12	225	5.0	2.317	5	1	132	5	5	31	20	8	9	3	40	24	barrier:40	archipelago_s311_A	A	US	Core destroyed	178
archipelago	26	26	392	229	8	2	3	21	33	1	2	7	7	8	8	8	6.729	7.36	6.734	1	5	29	1	1	0	-1	-1	50	5	0	16	237	7.0	0.0	8	1	175	4	7	29	29	8	15	8	0	50		archipelago_s311_B	B	US	Core destroyed	229
archipelago	26	26	392	302	8	2	3	23	38	1	2	5	6	8	8	8	6.911	8.0	6.914	2	64	36	2	2	2	1.0	1	34	64	0	22	242	6.233	0.95	8	0	-1	3	5	36	36	8	9	13	33	1	barrier:33	archipelago_s312_A	A	OPP	Core destroyed	302
archipelago	26	26	392	159	8	2	3	18	65	1	3	4	8	8	8	8	5.899	8.0	5.906	1	48	29	1	1	1	1.0	1	19	48	0	37	248	5.883	0.617	8	0	-1	4	4	29	29	8	16	4	15	4	barrier:15	archipelago_s312_B	B	OPP	Core destroyed	159
archipelago	26	26	392	465	8	2	3	21	45	1	2	3	6	6	7	7	5.727	7.0	5.729	3	625	121	4	3	3	1.0	1	96	625	0	43	388	5.733	0.0	9	2	138	6	6	121	80	8	9	4	76	20	barrier:76	archipelago_s313_A	A	OPP	Core destroyed	465
archipelago	26	26	392	269	8	2	3	18	44	1	3	4	5	5	5	5	4.602	5.0	4.606	3	667	34	4	1	0	-1	-1	70	667	0	24	222	4.933	2.583	5	0	-1	3	5	34	34	8	16	4	70	0	barrier:70	archipelago_s313_B	B	OPP	Core destroyed	269
archipelago	26	26	392	230	8	2	3	24	147	1	2	4	4	5	6	6	4.352	5.62	4.357	2	251	36	3	3	3	1.0	1	89	251	0	78	509	4.0	1.767	7	1	169	4	4	36	20	8	9	5	75	14	barrier:75	archipelago_s314_A	A	US	Core destroyed	230
archipelago	26	26	392	211	8	2	3	15	48	1	3	4	8	8	8	8	6.73	8.0	6.735	1	18	29	1	1	1	1.0	1	19	18	0	14	235	6.9	0.117	8	0	-1	4	5	29	29	8	13	4	15	4	barrier:15	archipelago_s314_B	B	OPP	Core destroyed	211
archipelago	26	26	392	532	8	2	3	-1	-1	1	2	2	2	1	2	2	1.16	1.0	1.162	3	1366	68	3	0	0	-1	-1	13	1366	0	587	1685	1.833	1.167	2	1	88	2	2	68	20	8	9	3	3	10	barrier:3	archipelago_s315_A	A	US	Core destroyed	532
archipelago	26	26	392	382	8	2	3	17	37	1	3	5	7	7	7	7	6.188	6.0	6.191	2	454	29	3	1	1	1.0	1	64	454	0	17	220	6.5	0.817	7	1	230	4	5	29	29	8	16	3	54	10	barrier:54	archipelago_s315_B	B	OPP	Core destroyed	382
archipelago	26	26	392	276	8	2	3	24	36	1	2	6	7	6	7	7	5.743	6.0	5.746	2	387	44	3	1	1	1.0	1	146	387	0	31	204	6.667	0.883	7	1	81	6	7	44	20	8	9	8	116	30	barrier:116	archipelago_s316_A	A	US	Core destroyed	276
archipelago	26	26	392	248	8	2	3	15	53	1	3	4	6	8	8	8	6.645	8.0	6.649	2	76	48	2	2	2	1.0	1	90	76	0	20	239	5.9	1.267	8	0	-1	4	6	48	48	8	13	11	81	9	barrier:81	archipelago_s316_B	B	OPP	Core destroyed	248
archipelago	26	26	392	158	8	2	3	22	27	1	2	6	8	8	8	8	6.494	8.0	6.5	0	0	-1	0	0	0	-1	-1	13	0	0	12	225	7.167	0.0	8	0	-1	-1	-1	-1	20	8	9	4	0	13		archipelago_s317_A	A	OPP	Core destroyed	158
archipelago	26	26	392	149	8	2	3	15	-1	1	3	4	4	-1	4	4	3.671	4.0	3.678	3	252	39	3	1	0	-1	-1	87	252	0	70	322	4.0	2.55	4	0	-1	4	4	39	39	8	13	3	87	0	barrier:87	archipelago_s317_B	B	OPP	Core destroyed	149
