--- 8013d088-6a5d-416f-aa07-90477cee7818_game_1.replay26: sockets of team EREBUS(B) core (16, 17) ---
  (2, 7)  FIRST r5 by US(A) (conveyor)   | r5:place:U:conveyor r32:remove:U:conveyor r33:place:E:sentinel r54:remove:E:sentinel r56:place:U:conveyor r86:remove:U:conveyor
  (2, 10)  FIRST r2 by US(A) (conveyor)   | r2:place:U:conveyor
  (3, 7)  NEVER BUILT ON
  (3, 10)  NEVER BUILT ON
  (4, 8)  FIRST r81 by US(A) (conveyor)   | r81:place:U:conveyor
  (4, 9)  FIRST r1 by US(A) (conveyor)   | r1:place:U:conveyor
  => owner-first 4/8 · enemy-first 0/8 · never 4/8

--- 8013d088-6a5d-416f-aa07-90477cee7818_game_4.replay26: sockets of team EREBUS(B) core (21, 11) ---
  (20, 11)  FIRST r11 by US(A) (barrier)   | r11:place:U:barrier
  (20, 12)  FIRST r29 by US(A) (barrier)   | r29:place:U:barrier
  (21, 10)  FIRST r5 by EREBUS(B) (conveyor)   | r5:place:E:conveyor r23:remove:E:conveyor r24:place:U:barrier
  (21, 13)  FIRST r18 by EREBUS(B) (conveyor)   | r18:place:E:conveyor r96:remove:E:conveyor r97:place:U:barrier
  (22, 10)  FIRST r2 by EREBUS(B) (conveyor)   | r2:place:E:conveyor
  (22, 13)  FIRST r3 by EREBUS(B) (conveyor)   | r3:place:E:conveyor
  (23, 11)  FIRST r87 by US(A) (barrier)   | r87:place:U:barrier
  (23, 12)  FIRST r99 by US(A) (barrier)   | r99:place:U:barrier
  => owner-first 4/8 · enemy-first 4/8 · never 0/8
--- 8013d088-6a5d-416f-aa07-90477cee7818_game_4.replay26: sockets of team US(A) core (1, 11) ---
  (0, 11)  FIRST r2 by US(A) (conveyor)   | r2:place:U:conveyor
  (0, 12)  NEVER BUILT ON
  (1, 10)  FIRST r12 by US(A) (conveyor)   | r12:place:U:conveyor r40:remove:U:conveyor r41:place:E:barrier r42:remove:E:barrier
  (1, 13)  FIRST r13 by US(A) (conveyor)   | r13:place:U:conveyor
  (2, 10)  NEVER BUILT ON
  (2, 13)  NEVER BUILT ON
  (3, 11)  NEVER BUILT ON
  (3, 12)  FIRST r1 by US(A) (conveyor)   | r1:place:U:conveyor
  => owner-first 4/8 · enemy-first 0/8 · never 4/8

--- 8013d088-6a5d-416f-aa07-90477cee7818_game_5.replay26: sockets of team EREBUS(B) core (14, 26) ---
  (13, 26)  FIRST r4 by EREBUS(B) (conveyor)   | r4:place:E:conveyor
  (13, 27)  FIRST r50 by US(A) (barrier)   | r50:place:U:barrier
  (14, 25)  FIRST r2 by EREBUS(B) (conveyor)   | r2:place:E:conveyor
  (14, 28)  FIRST r51 by US(A) (barrier)   | r51:place:U:barrier
  (15, 25)  FIRST r14 by US(A) (barrier)   | r14:place:U:barrier
  (15, 28)  NEVER BUILT ON
  (16, 26)  FIRST r3 by EREBUS(B) (conveyor)   | r3:place:E:conveyor
  (16, 27)  FIRST r62 by EREBUS(B) (conveyor)   | r62:place:E:conveyor
  => owner-first 4/8 · enemy-first 3/8 · never 1/8
--- 8013d088-6a5d-416f-aa07-90477cee7818_game_5.replay26: sockets of team US(A) core (14, 2) ---
  (13, 2)  FIRST r32 by US(A) (conveyor)   | r32:place:U:conveyor r70:remove:U:conveyor r71:place:E:barrier
  (13, 3)  FIRST r2 by US(A) (conveyor)   | r2:place:U:conveyor
  (14, 1)  NEVER BUILT ON
  (14, 4)  NEVER BUILT ON
  (15, 1)  NEVER BUILT ON
  (15, 4)  FIRST r1 by US(A) (conveyor)   | r1:place:U:conveyor
  (16, 2)  NEVER BUILT ON
  (16, 3)  NEVER BUILT ON
  => owner-first 3/8 · enemy-first 0/8 · never 5/8

