tag	map	seed	seat	ours	turn	ourcore_sent	ourcore_gun	ourcore_peck	ourcore_heal	ourcore_dmg	ourcore_hp_calc	oppcore_sent	oppcore_gun	oppcore_peck	oppcore_heal	oppcore_dmg	oppcore_hp_calc	fwd_sent_n	fwd_sent_first	fwd_sent_life	fwd_sent_alive_r	fwd_gunn_n	fwd_gunn_first	fwd_gunn_life	fwd_gunn_alive_r	fwd_laun_n	fwd_laun_first	fwd_laun_life	fwd_laun_alive_r	home_sent_n	home_sent_first	home_sent_life	home_sent_alive_r	home_gunn_n	home_gunn_first	home_gunn_life	home_gunn_alive_r	home_laun_n	home_laun_first	home_laun_life	home_laun_alive_r	fwd_sent_alive	fwd_sent_dry	opp_sent_n	opp_gun_n	opp_fwd_turret	unknown_deltas	ourcore_overkill
drakkarfjord_s3_A	drakkarfjord	3	A	OPP	503	504	0	0	0	504	-4	1080	0	0	1080	1080	500	1	112	215	215	0			0	2	9	226	453	1	38	465	465	2	80	396	792	4	1	1	4	215	185	4	0	2		4
drakkarfjord_s3_B	drakkarfjord	3	B	US	152	0	0	0	0	0	500	648	0	0	148	648	0	1	80	72	72	0			0	1	9	1	1	1	44	108	108	1	56	96	96	4	1	1	4	72	0	1	0	0		0
glacierkeep_s1_A	glacierkeep	1	A	OPP	681	504	0	0	0	504	-4	720	0	0	720	720	500	1	92	148	148	0			0	1	7	1	1	0			0	2	35	636	1271	3	1	1	3	148	140	3	1	1		4
glacierkeep_s1_B	glacierkeep	1	B	OPP	567	504	0	0	0	504	-4	252	0	0	252	252	500	1	72	324	324	0			0	1	7	1	1	0			0	2	36	416	832	3	1	1	3	324	305	2	2	1		4
glacierkeep_s2_A	glacierkeep	2	A	US	1000	0	0	0	0	0	500	3186	0	0	3186	3186	500	1	76	924	924	1	39	961	961	1	7	1	1	0			0	0			0	3	1	1	3	924	907	2	0	0		0
glacierkeep_s2_B	glacierkeep	2	B	US	217	0	0	0	0	0	500	504	0	0	0	504	-4	1	112	105	105	0			0	2	7	64	129	0			0	0			0	3	1	1	3	105	101	1	1	0		0
glacierkeep_s3_A	glacierkeep	3	A	OPP	1000	18	0	0	0	18	482	126	0	0	126	126	500	2	180	7	14	0			0	1	7	1	1	0			0	2	34	955	1910	6	1	1	6	14	0	2	1	1		0
glacierkeep_s3_B	glacierkeep	3	B	US	521	432	0	0	0	432	68	1800	0	0	1300	1800	0	1	104	417	417	0			0	1	7	1	1	0			0	1	34	487	487	3	1	1	3	417	413	2	1	1		0
midgard_s1_A	midgard	1	A	OPP	521	504	0	0	0	504	-4	342	0	0	0	342	158	1	112	90	90	1	359	162	162	4	11	247	988	0			0	1	87	434	434	10	1	1	10	90	85	2	3	1		4
midgard_s1_B	midgard	1	B	OPP	1000	576	0	0	576	576	500	198	0	0	198	198	500	3	42	7	22	1	61	46	46	1	11	54	54	3	207	526	1577	0			0	11	1	1	11	22	1	5	6	3		0
midgard_s2_A	midgard	2	A	OPP	328	504	0	0	0	504	-4	36	0	0	36	36	500	1	195	5	5	0			0	3	11	106	319	1	49	279	279	3	58	175	524	15	1	1	15	5	3	8	2	1		4
midgard_s2_B	midgard	2	B	OPP	173	864	0	0	356	864	-8	126	0	0	126	126	500	2	42	8	15	1	60	113	113	1	11	162	162	0			0	0			0	5	1	1	5	15	1	2	3	1		8
midgard_s3_A	midgard	3	A	OPP	260	504	0	0	0	504	-4	0	0	0	0	0	500	0			0	0			0	2	11	248	495	0			0	1	57	203	203	9	1	1	9	0	0	5	3	3		4
midgard_s3_B	midgard	3	B	OPP	173	864	0	0	356	864	-8	126	0	0	126	126	500	2	42	8	15	1	60	113	113	1	11	162	162	0			0	0			0	5	1	1	5	15	1	2	3	1		8
nordkap_s1_A	nordkap	1	A	OPP	604	3762	0	0	3262	3762	0	0	0	0	0	0	500	0			0	0			0	1	3	1	1	2	10	567	1134	0			0	8	1	1	8	0	0	11	7	2		0
nordkap_s1_B	nordkap	1	B	US	1000	0	0	0	0	0	500	0	0	0	0	0	500	2	104	866	1732	1	177	823	823	3	3	404	1211	2	136	856	1712	2	20	527	1054	16	1	404	6461	896	16	1	3	1		0
nordkap_s2_A	nordkap	2	A	OPP	597	504	0	0	0	504	-4	396	0	0	396	396	500	3	180	153	460	2	55	126	253	11	3	55	605	4	12	480	1922	2	132	354	707	11	1	137	1506	417	0	6	7	3		4
nordkap_s2_B	nordkap	2	B	OPP	326	504	0	0	0	504	-4	0	0	0	0	0	500	0			0	0			0	1	3	1	1	0			0	2	16	166	332	1	1	1	1	0	0	4	3	2		4
nordkap_s3_A	nordkap	3	A	OPP	205	864	0	0	364	864	0	0	0	0	0	0	500	0			0	0			0	2	3	100	200	1	35	170	170	1	15	153	153	1	1	1	1	0	0	2	4	4		0
nordkap_s3_B	nordkap	3	B	US	227	0	0	0	0	0	500	828	0	0	320	828	-8	2	34	90	181	0			0	3	3	10	30	1	12	215	215	1	153	74	74	3	1	18	53	181	0	5	3	1		0
