game	map	seat	tile	ring_rounds	ours_block	ours_body	enemy_bldg	enemy_body	our_conv	empty	closed_pct
v513_log-glacierkeep-s2-B	glacierkeep	B	15,4	112	78	0	0	0	0	34	69.6
v513_log-glacierkeep-s2-B	glacierkeep	B	14,4	112	82	0	0	0	0	30	73.2
v513_log-glacierkeep-s2-B	glacierkeep	B	13,3	112	85	0	0	0	0	27	75.9
v513_log-glacierkeep-s2-B	glacierkeep	B	13,2	112	87	0	0	2	0	23	77.7
v513_log-glacierkeep-s3-A	glacierkeep	A	14,25	164	149	0	0	2	0	13	90.9
v513_log-glacierkeep-s3-A	glacierkeep	A	15,25	164	153	0	0	1	0	10	93.3
v513_log-glacierkeep-s3-A	glacierkeep	A	16,26	164	158	0	0	0	0	6	96.3
v513_log-glacierkeep-s3-A	glacierkeep	A	16,27	164	163	0	0	0	0	1	99.4
v513_log-glacierkeep-s3-A	glacierkeep	A	15,28	164	162	0	0	0	0	2	98.8
v513_log-glacierkeep-s3-A	glacierkeep	A	14,28	164	127	0	0	0	0	37	77.4
v513_log-glacierkeep-s3-A	glacierkeep	A	13,27	164	124	0	0	0	0	40	75.6
v513_log-glacierkeep-s3-A	glacierkeep	A	13,26	164	117	0	0	1	0	46	71.3
v513_log-glacierkeep-s3-B	glacierkeep	B	14,1	991	68	0	0	223	0	700	6.9
v513_log-glacierkeep-s3-B	glacierkeep	B	15,1	991	84	0	0	98	0	809	8.5
v513_log-glacierkeep-s3-B	glacierkeep	B	16,2	991	989	0	0	0	0	2	99.8
v513_log-glacierkeep-s3-B	glacierkeep	B	16,3	991	980	0	0	0	0	11	98.9
v513_log-glacierkeep-s3-B	glacierkeep	B	15,4	991	977	0	0	0	0	14	98.6
v513_log-glacierkeep-s3-B	glacierkeep	B	14,4	991	973	0	0	0	0	18	98.2
v513_log-glacierkeep-s3-B	glacierkeep	B	13,3	991	970	0	0	0	0	21	97.9
v513_log-glacierkeep-s3-B	glacierkeep	B	13,2	991	966	0	0	0	0	25	97.5
v513_log-midgard-s1-A	midgard	A	26,25	120	0	0	111	0	0	9	0.0
v513_log-midgard-s1-A	midgard	A	27,25	120	0	0	120	0	0	0	0.0
v513_log-midgard-s1-A	midgard	A	28,26	120	0	0	0	2	0	118	0.0
v513_log-midgard-s1-A	midgard	A	28,27	120	0	0	0	0	0	120	0.0
v513_log-midgard-s1-A	midgard	A	27,28	120	0	0	0	0	0	120	0.0
v513_log-midgard-s1-A	midgard	A	26,28	120	25	0	0	0	0	95	20.8
v513_log-midgard-s1-A	midgard	A	25,27	120	0	0	120	0	0	0	0.0
v513_log-midgard-s1-A	midgard	A	25,26	120	61	0	0	0	0	59	50.8
v513_log-midgard-s1-B	midgard	B	2,1	12	12	0	0	0	0	0	100.0
v513_log-midgard-s1-B	midgard	B	3,1	12	12	0	0	0	0	0	100.0
v513_log-midgard-s1-B	midgard	B	4,2	12	1	0	10	0	0	1	8.3
v513_log-midgard-s1-B	midgard	B	4,3	12	12	0	0	0	0	0	100.0
v513_log-midgard-s1-B	midgard	B	3,4	12	0	0	12	0	0	0	0.0
v513_log-midgard-s1-B	midgard	B	2,4	12	0	0	12	0	0	0	0.0
v513_log-midgard-s1-B	midgard	B	1,3	12	12	0	0	0	0	0	100.0
v513_log-midgard-s1-B	midgard	B	1,2	12	12	0	0	0	0	0	100.0
v513_log-midgard-s2-A	midgard	A	26,25	217	199	0	0	0	0	18	91.7
v513_log-midgard-s2-A	midgard	A	27,25	217	0	0	217	0	0	0	0.0
v513_log-midgard-s2-A	midgard	A	28,26	217	209	0	0	0	0	8	96.3
v513_log-midgard-s2-A	midgard	A	28,27	217	214	0	0	0	0	3	98.6
v513_log-midgard-s2-A	midgard	A	27,28	217	213	2	0	0	0	2	99.1
v513_log-midgard-s2-A	midgard	A	26,28	217	216	0	0	0	0	1	99.5
v513_log-midgard-s2-A	midgard	A	25,27	217	179	0	0	0	0	38	82.5
v513_log-midgard-s2-A	midgard	A	25,26	217	161	0	0	0	0	56	74.2
v513_log-midgard-s2-B	midgard	B	2,1	38	0	0	0	0	0	38	0.0
v513_log-midgard-s2-B	midgard	B	3,1	38	0	0	0	0	0	38	0.0
v513_log-midgard-s2-B	midgard	B	4,2	38	0	0	38	0	0	0	0.0
v513_log-midgard-s2-B	midgard	B	4,3	38	0	0	38	0	0	0	0.0
v513_log-midgard-s2-B	midgard	B	3,4	38	0	0	38	0	0	0	0.0
v513_log-midgard-s2-B	midgard	B	2,4	38	0	0	38	0	0	0	0.0
v513_log-midgard-s2-B	midgard	B	1,3	38	0	0	0	13	0	25	0.0
v513_log-midgard-s2-B	midgard	B	1,2	38	0	0	0	0	0	38	0.0
v513_log-midgard-s3-A	midgard	A	26,25	265	0	0	251	1	0	13	0.0
v513_log-midgard-s3-A	midgard	A	27,25	265	0	0	265	0	0	0	0.0
v513_log-midgard-s3-A	midgard	A	28,26	265	0	0	0	1	0	264	0.0
v513_log-midgard-s3-A	midgard	A	28,27	265	235	0	0	1	0	29	88.7
v513_log-midgard-s3-A	midgard	A	27,28	265	31	0	0	177	0	57	11.7
v513_log-midgard-s3-A	midgard	A	26,28	265	17	0	0	83	0	165	6.4
v513_log-midgard-s3-A	midgard	A	25,27	265	0	0	265	0	0	0	0.0
v513_log-midgard-s3-A	midgard	A	25,26	265	263	0	0	0	0	2	99.2
v513_log-midgard-s3-B	midgard	B	2,1	23	0	0	0	0	0	23	0.0
v513_log-midgard-s3-B	midgard	B	3,1	23	23	0	0	0	0	0	100.0
v513_log-midgard-s3-B	midgard	B	4,2	23	0	0	23	0	0	0	0.0
v513_log-midgard-s3-B	midgard	B	4,3	23	23	0	0	0	0	0	100.0
v513_log-midgard-s3-B	midgard	B	3,4	23	0	0	23	0	0	0	0.0
v513_log-midgard-s3-B	midgard	B	2,4	23	0	0	23	0	0	0	0.0
v513_log-midgard-s3-B	midgard	B	1,3	23	0	0	0	0	0	23	0.0
v513_log-midgard-s3-B	midgard	B	1,2	23	0	0	0	0	0	23	0.0
v513_log-nordkap-s1-A	nordkap	A	9,17	119	84	0	0	0	0	35	70.6
v513_log-nordkap-s1-A	nordkap	A	10,17	119	25	0	45	0	0	49	21.0
v513_log-nordkap-s1-A	nordkap	A	11,18	119	1	0	115	0	0	3	0.8
v513_log-nordkap-s1-A	nordkap	A	11,19	119	0	23	79	2	0	15	19.3
v513_log-nordkap-s1-A	nordkap	A	10,20	119	38	1	0	0	0	80	32.8
v513_log-nordkap-s1-A	nordkap	A	9,20	119	16	0	0	53	0	50	13.4
v513_log-nordkap-s1-A	nordkap	A	8,19	119	36	0	0	0	0	83	30.3
v513_log-nordkap-s1-A	nordkap	A	8,18	119	102	0	0	0	0	17	85.7
v513_log-nordkap-s1-B	nordkap	B	9,5	604	598	0	0	0	0	6	99.0
v513_log-nordkap-s1-B	nordkap	B	10,5	604	603	0	0	0	0	1	99.8
v513_log-nordkap-s1-B	nordkap	B	11,6	604	602	0	0	0	0	2	99.7
v513_log-nordkap-s1-B	nordkap	B	11,7	604	540	0	39	2	0	23	89.4
v513_log-nordkap-s1-B	nordkap	B	10,8	604	0	556	41	0	0	7	92.1
v513_log-nordkap-s1-B	nordkap	B	9,8	604	574	0	0	8	0	22	95.0
v513_log-nordkap-s1-B	nordkap	B	8,7	604	590	0	0	0	0	14	97.7
v513_log-nordkap-s1-B	nordkap	B	8,6	604	592	0	0	0	0	12	98.0
v513_log-nordkap-s2-A	nordkap	A	9,17	307	267	0	0	0	0	40	87.0
v513_log-nordkap-s2-A	nordkap	A	10,17	307	0	0	291	0	0	16	0.0
v513_log-nordkap-s2-A	nordkap	A	11,18	307	269	0	33	1	0	4	87.6
v513_log-nordkap-s2-A	nordkap	A	11,19	307	0	34	0	2	0	271	11.1
v513_log-nordkap-s2-A	nordkap	A	10,20	307	305	1	0	0	0	1	99.7
v513_log-nordkap-s2-A	nordkap	A	9,20	307	256	0	0	1	0	50	83.4
v513_log-nordkap-s2-A	nordkap	A	8,19	307	259	0	0	0	0	48	84.4
v513_log-nordkap-s2-A	nordkap	A	8,18	307	264	0	0	0	0	43	86.0
v513_log-nordkap-s2-B	nordkap	B	9,5	136	135	0	0	0	0	1	99.3
v513_log-nordkap-s2-B	nordkap	B	10,5	136	126	2	0	0	0	8	94.1
v513_log-nordkap-s2-B	nordkap	B	11,6	136	132	0	0	0	0	4	97.1
v513_log-nordkap-s2-B	nordkap	B	11,7	136	118	0	0	1	0	17	86.8
v513_log-nordkap-s2-B	nordkap	B	10,8	136	117	0	0	1	0	18	86.0
v513_log-nordkap-s2-B	nordkap	B	9,8	136	114	0	0	2	0	20	83.8
v513_log-nordkap-s2-B	nordkap	B	8,7	136	121	0	0	2	0	13	89.0
v513_log-nordkap-s2-B	nordkap	B	8,6	136	123	0	0	1	0	12	90.4
v513_log-nordkap-s3-A	nordkap	A	9,17	343	0	3	324	3	0	13	0.9
v513_log-nordkap-s3-A	nordkap	A	10,17	343	165	0	176	0	0	2	48.1
v513_log-nordkap-s3-A	nordkap	A	11,18	343	0	0	335	2	0	6	0.0
v513_log-nordkap-s3-A	nordkap	A	11,19	343	340	0	0	0	0	3	99.1
v513_log-nordkap-s3-A	nordkap	A	10,20	343	4	2	0	1	0	336	1.7
v513_log-nordkap-s3-A	nordkap	A	9,20	343	342	0	0	0	0	1	99.7
v513_log-nordkap-s3-A	nordkap	A	8,19	343	333	0	0	1	0	9	97.1
v513_log-nordkap-s3-A	nordkap	A	8,18	343	328	0	0	1	0	14	95.6
v513_log-nordkap-s3-B	nordkap	B	9,5	337	107	0	81	29	0	120	31.8
v513_log-nordkap-s3-B	nordkap	B	10,5	337	160	0	51	100	0	26	47.5
v513_log-nordkap-s3-B	nordkap	B	11,6	337	335	0	0	0	0	2	99.4
v513_log-nordkap-s3-B	nordkap	B	11,7	337	286	0	0	0	0	51	84.9
v513_log-nordkap-s3-B	nordkap	B	10,8	337	289	0	0	7	0	41	85.8
v513_log-nordkap-s3-B	nordkap	B	9,8	337	312	0	0	2	0	23	92.6
v513_log-nordkap-s3-B	nordkap	B	8,7	337	315	0	0	0	0	22	93.5
v513_log-nordkap-s3-B	nordkap	B	8,6	337	242	0	0	0	0	95	71.8
