map	seat	side	x	y	env	cls	enemy_core	our_core
glacierkeep	A	orth	15	28	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	orth	14	28	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	orth	13	27	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	orth	13	26	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	diag	13	25	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	diag	16	25	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	diag	13	28	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	diag	16	28	EMPTY	barrier-legal	14,26	14,2
glacierkeep	B	orth	14	1	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	orth	15	1	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	orth	16	2	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	orth	16	3	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	orth	15	4	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	orth	14	4	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	orth	13	3	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	orth	13	2	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	diag	13	1	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	diag	16	1	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	diag	13	4	EMPTY	barrier-legal	14,2	14,26
glacierkeep	B	diag	16	4	EMPTY	barrier-legal	14,2	14,26
nordkap	A	orth	9	17	EMPTY	barrier-legal	9,18	9,6
nordkap	A	orth	10	17	EMPTY	barrier-legal	9,18	9,6
nordkap	A	orth	11	18	EMPTY	barrier-legal	9,18	9,6
nordkap	A	orth	11	19	EMPTY	barrier-legal	9,18	9,6
nordkap	A	orth	10	20	EMPTY	barrier-legal	9,18	9,6
nordkap	A	orth	9	20	EMPTY	barrier-legal	9,18	9,6
nordkap	A	orth	8	19	EMPTY	barrier-legal	9,18	9,6
nordkap	A	orth	8	18	EMPTY	barrier-legal	9,18	9,6
nordkap	A	diag	8	17	EMPTY	barrier-legal	9,18	9,6
nordkap	A	diag	11	17	EMPTY	barrier-legal	9,18	9,6
nordkap	A	diag	8	20	EMPTY	barrier-legal	9,18	9,6
nordkap	A	diag	11	20	EMPTY	barrier-legal	9,18	9,6
nordkap	B	orth	9	5	EMPTY	barrier-legal	9,6	9,18
nordkap	B	orth	10	5	EMPTY	barrier-legal	9,6	9,18
nordkap	B	orth	11	6	EMPTY	barrier-legal	9,6	9,18
nordkap	B	orth	11	7	EMPTY	barrier-legal	9,6	9,18
nordkap	B	orth	10	8	EMPTY	barrier-legal	9,6	9,18
nordkap	B	orth	9	8	EMPTY	barrier-legal	9,6	9,18
nordkap	B	orth	8	7	EMPTY	barrier-legal	9,6	9,18
nordkap	B	orth	8	6	EMPTY	barrier-legal	9,6	9,18
nordkap	B	diag	8	5	EMPTY	barrier-legal	9,6	9,18
nordkap	B	diag	11	5	EMPTY	barrier-legal	9,6	9,18
nordkap	B	diag	8	8	EMPTY	barrier-legal	9,6	9,18
nordkap	B	diag	11	8	EMPTY	barrier-legal	9,6	9,18
